Rank,Name,Company,Link
142,Amazing Frog?,FAYJU,https://www.appannie.com/apps/ios/app/amazing-frog-3/details/
143,911 Operator,Games Operators,https://www.appannie.com/apps/ios/app/911-operator-mobile/details/
144,Civilization Revolution 2,2K Games,https://www.appannie.com/apps/ios/app/civilization-revolution-2/details/
145,Attack the Light,Cartoon Network,https://www.appannie.com/apps/ios/app/attack-light-steven-universe/details/
146,INKHUNTER PRO Tattoos try on,"INKHUNTER, Inc.",https://www.appannie.com/apps/ios/app/inkhunter-pro-tattoos-try-on/details/
147,LumaFusion,Luma Touch,https://www.appannie.com/apps/ios/app/lumafusion/details/
148,Incredibox,So Far So Good,https://www.appannie.com/apps/ios/app/incredibox/details/
149,Screen Mirroring+ App,2kit Consulting,https://www.appannie.com/apps/ios/app/screen-mirroring-app/details/
150,Papa's Hot Doggeria To Go!,Flipline,https://www.appannie.com/apps/ios/app/papas-hot-doggeria-to-go/details/
151,Zombieville USA 2,MikaMobile,https://www.appannie.com/apps/ios/app/zombieville-usa-2/details/
152,Kingdom Rush Frontiers,Ironhide,https://www.appannie.com/apps/ios/app/kingdom-rush-frontiers/details/
153,Earn to Die,Not Doppler,https://www.appannie.com/apps/ios/app/earn-to-die/details/
154,Modern Magic 8 Ball,Hayden Watson,https://www.appannie.com/apps/ios/app/modern-magic-8-ball/details/
155,Poly Bridge,Dry Cactus,https://www.appannie.com/apps/ios/app/poly-bridge-3/details/
156,iNavX: Marine Navigation,GPSNavX,https://www.appannie.com/apps/ios/app/inavx-marine-navigation/details/
157,RFS - Real Flight Simulator,RORTOS,https://www.appannie.com/apps/ios/app/rfs-real-flight-simulator/details/
158,Papa's Donuteria To Go!,Flipline,https://www.appannie.com/apps/ios/app/papas-donuteria-to-go/details/
159,Ghost Science M3,Jedasoft,https://www.appannie.com/apps/ios/app/ghost-paranormal-science/details/
160,Don't Starve: Pocket Edition,Klei Entertainment,https://www.appannie.com/apps/ios/app/dont-starve-pocket-edition/details/
161,HeartWatch: Monitor Heart Rate,Tantsissa,https://www.appannie.com/apps/ios/app/heartwatch-view-get-notified/details/
162,Camera+ 2,LateNiteSoft S.L.,https://www.appannie.com/apps/ios/app/camera-2-2/details/
163,StaffLinQ,ROSnet,https://www.appannie.com/apps/ios/app/stafflinq/details/
164,CARROT Weather,Grailr,https://www.appannie.com/apps/ios/app/carrot-weather-talking-forecast/details/
165,Vector for iPhone,Nekki,https://www.appannie.com/apps/ios/app/vector-for-iphone/details/
166,Youtubers Life: Gaming Channel,UPlay online,https://www.appannie.com/apps/ios/app/youtubers-life/details/
167,Gone Home,Annapurna,https://www.appannie.com/apps/ios/app/gone-home/details/
168,Monument Valley,ustwo,https://www.appannie.com/apps/ios/app/monument-valley/details/
169,Cloud Baby Monitor,Martin Man,https://www.appannie.com/apps/ios/app/cloud-baby-monitor-unlimited/details/
170,Papa's Taco Mia To Go!,Flipline,https://www.appannie.com/apps/ios/app/papas-taco-mia-to-go/details/
171,Pocket City,Codebrew Games,https://www.appannie.com/apps/ios/app/pocket-city-2/details/
172,Stylebook,left brain right brain,https://www.appannie.com/apps/ios/app/stylebook/details/
173,Teen Titans Go! Figure,Cartoon Network,https://www.appannie.com/apps/ios/app/teen-titans-go-figure/details/
174,LEGO Batman: DC Super Heroes,Warner Bros,https://www.appannie.com/apps/ios/app/lego-batman-dc-super-heroes/details/
